日期,时间,纬度,经度,深度,震级,位置,Year
2017-04-19,01:49:55,-2.68,-75.28,10,5.9,秘鲁,2017
2017-04-18,17:13:08,20.71,100.1,10,5,缅甸,2017
2017-04-17,13:23:13,17.51,-61.15,20,5.5,背风群岛,2017
2017-04-15,16:19:41,-23.3,-67.69,140,6.3,智利,2017
2017-04-08,15:07:57,13.65,120.9,10,5.7,菲律宾,2017
2017-04-05,14:09:11,35.83,60.41,10,6.1,伊朗,2017
2017-04-04,23:07:28,47.2,85.06,5,5.4,哈萨克斯坦,2017
2017-04-04,01:40:13,-22.61,25.11,10,6.6,博茨瓦纳,2017
2017-03-29,12:09:23,56.91,162.81,20,6.7,俄罗斯堪察加半岛,2017
2017-03-27,18:50:19,52.74,172.16,10,6.1,阿留申群岛,2017
2017-03-27,07:55:00,25.89,99.8,12,5.1,云南大理州漾濞县,2017
2017-03-27,07:40:28,25.87,99.83,12,4.7,云南大理州漾濞县,2017
2017-03-25,00:43:29,26.91,127.21,90,4.8,琉球群岛,2017
2017-03-24,11:03:26,38.82,119.55,10,3.9,渤海海域,2017
2017-03-19,23:43:29,-8.24,160.84,40,6,所罗门群岛,2017
2017-03-14,20:36:44,-20.9,169.94,140,5.8,瓦努阿图群岛,2017
2017-03-14,19:07:10,39.19,73.51,10,4.7,塔吉克斯坦,2017
2017-03-14,10:51:15,6.15,92.35,10,5.9,尼科巴群岛地区,2017
2017-03-12,20:21:17,27.09,103.4,10,4.5,云南昭通市鲁甸县,2017
2017-03-06,06:47:54,-6.01,149.37,30,6,新不列颠岛,2017
2017-03-04,10:58:21,-7.2,155.63,10,6,所罗门群岛,2017
2017-03-02,10:11:31,59.62,-152.71,60,5.5,美国阿拉斯加州南部,2017
2017-02-28,21:42:19,37.65,72.28,156.8,5.4,塔吉克斯坦,2017
2017-02-27,02:48:51,30.18,83.54,5,4.5,西藏日喀则市仲巴县,2017
2017-02-25,07:46:44,-17.95,-178.48,560,6,斐济群岛地区,2017
2017-02-25,01:28:44,-23.24,-178.89,400,6.9,斐济群岛以南,2017
2017-02-24,08:32:14,-8.43,30.01,10,5.9,坦噶尼喀湖地区,2017
2017-02-21,22:09:04,-19.24,-63.85,600,6.4,玻利维亚,2017
2017-02-18,20:10:13,-23.83,-66.68,190,6.2,阿根廷,2017
2017-02-11,01:12:51,22.85,120.2,20,5.6,台湾高雄市,2017
2017-02-10,22:03:42,9.86,125.46,30,6.4,菲律宾,2017
2017-02-08,19:11:38,27.07,103.36,10,4.9,云南昭通市鲁甸县,2017
2017-02-08,06:03:53,25.2,63.28,10,6.4,巴基斯坦,2017
2017-02-04,03:54:22,15.1,-60.5,40,5.6,背风群岛,2017
2017-02-01,18:07:44,30.67,83.34,8,5,西藏日喀则市仲巴县,2017
2017-01-31,14:16:00,31.53,93.97,5,4.5,西藏那曲地区索县,2017
2017-01-29,22:59:48,-30.27,-177.12,10,5.9,新西兰克马德克群岛,2017
2017-01-28,02:46:32,28.09,104.72,11,4.9,四川宜宾市筠连县,2017
2017-01-22,12:30:25,-6.19,155.14,160,7.9,所罗门群岛,2017
2017-01-20,17:54:01,38.2,76.73,7,4.8,新疆喀什地区莎车县,2017
2017-01-20,07:04:18,-10.31,161.22,20,6.7,所罗门群岛,2017
2017-01-18,18:14:12,42.54,13.21,20,5.7,意大利,2017
2017-01-10,23:27:13,-10.12,161,30,6.3,所罗门群岛,2017
2017-01-10,14:13:45,4.41,122.62,620,6.9,苏拉威西海,2017
2017-01-09,07:47:12,74.32,-92.29,10,6.1,加拿大伊丽莎白女王群岛,2017
2017-01-08,16:52:08,-6.26,147.45,60,5.8,巴布亚新几内亚,2017
2017-01-04,22:12:51,30.6,83.77,9,4.7,西藏日喀则市仲巴县,2017
2017-01-04,05:52:29,-19.31,175.95,20,6.9,斐济群岛以南,2017
2017-01-02,21:14:02,-23.31,179.25,550,6.3,斐济群岛以南,2017
2017-01-02,10:10:09,40.75,114.16,15,3.3,河北张家口市怀安县,2017
2016-12-30,06:30:18,-9.06,118.61,80,6.2,印尼松巴哇岛地区,2016
2016-12-28,20:38:57,36.7,140.6,10,5.9,日本本州东岸近海,2016
2016-12-27,08:17:32,29.47,105.6,10,4.8,重庆荣昌区,2016
2016-12-25,22:22:27,-43.38,-73.81,40,7.6,智利,2016
2016-12-22,00:43:59,21.52,145.41,20,5.9,马里亚纳群岛地区,2016
2016-12-21,08:17:15,-7.6,127.8,160,6.5,班达海,2016
2016-12-20,20:33:15,-10.16,160.98,10,5.9,所罗门群岛,2016
2016-12-20,18:04:38,37.25,84.81,8.5,5.8,新疆巴音郭楞州且末县,2016
2016-12-20,12:21:30,-10.2,161.23,30,6.5,所罗门群岛,2016
2016-12-18,21:30:10,-9.99,-71.01,610,5.7,秘鲁,2016
2016-12-18,17:47:04,8.37,137.76,20,5.9,加罗林群岛,2016
2016-12-18,13:46:25,-10.22,161.19,40,5.9,所罗门群岛,2016
2016-12-17,19:27:44,-5.75,153.81,60,6.5,新爱尔兰地区,2016
2016-12-17,18:51:12,-4.53,153.47,110,7.8,新爱尔兰地区,2016
2016-12-15,22:14:30,22.86,121.26,5,5.1,台湾台东县海域,2016
2016-12-14,16:14:28,38.5,90.15,4.8,5,新疆巴音郭楞州若羌县,2016
2016-12-12,10:31:07,53.78,125.61,10,5.2,俄罗斯,2016
2016-12-11,00:24:35,-5.6,154.42,160,6,所罗门群岛,2016
2016-12-10,03:10:06,-10.65,161.1,10,6.9,所罗门群岛,2016
2016-12-09,05:56:08,-10.81,161.35,30,6,所罗门群岛,2016
2016-12-09,01:38:45,-10.67,161.32,40,7.8,所罗门群岛,2016
2016-12-08,22:49:48,40.51,-126.2,10,6.7,美国加利福尼亚州附近海域,2016
2016-12-08,13:15:03,43.83,86.35,6,6.2,新疆昌吉州呼图壁县,2016
2016-12-07,06:03:34,5.3,96.2,20,6.8,印尼苏门答腊岛附近海域,2016
2016-12-07,05:42:19,11.01,-60.7,30,5.8,向风群岛,2016
2016-12-05,09:13:04,-7.25,123.41,520,6.6,班达海,2016
2016-12-05,05:34:21,32.32,92.31,5.4,5.1,西藏那曲地区聂荣县,2016
